id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,kernel,C,gamma,degree,coef0,probability,random_state
0,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,scale,2,0,True,707878
1,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,scale,3,0,True,707878
2,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,scale,5,0,True,707878
3,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,auto,2,0,True,707878
4,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,auto,3,0,True,707878
5,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,auto,5,0,True,707878
6,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,1e-05,2,0,True,707878
7,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,1e-05,3,0,True,707878
8,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,1e-05,5,0,True,707878
9,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.0001,2,0,True,707878
10,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.0001,3,0,True,707878
11,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.0001,5,0,True,707878
12,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.001,2,0,True,707878
13,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.001,3,0,True,707878
14,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.001,5,0,True,707878
15,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.01,2,0,True,707878
16,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.01,3,0,True,707878
17,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.01,5,0,True,707878
18,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.1,2,0,True,707878
19,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.1,3,0,True,707878
20,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.1,5,0,True,707878
21,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.5,2,0,True,707878
22,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.5,3,0,True,707878
23,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.5,5,0,True,707878
24,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,1,2,0,True,707878
25,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,1,3,0,True,707878
26,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,1,5,0,True,707878
27,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,5,2,0,True,707878
28,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,5,3,0,True,707878
29,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,5,5,0,True,707878
30,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,10,2,0,True,707878
31,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,10,3,0,True,707878
32,euclidian_px_all,svc,mRMR,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,10,5,0,True,707878
33,euclidian_px_all,svc,mRMR,0.6690909090909092,"(0.5800767778699351, 0.7581050403118833)",0.5166666666666667,0.32,0.39047619047619053,linear,0.1,scale,2,0,True,707878
34,euclidian_px_all,svc,mRMR,0.6690909090909092,"(0.5800767778699351, 0.7581050403118833)",0.5166666666666667,0.32,0.39047619047619053,linear,0.1,scale,3,0,True,707878
